a52dec 0.7.4-8
libgcrypt 1.5.3-1
libgksu 2.0.12-5
libglade 2.6.4-5
libgme 0.6.0-2
libgnome-keyring 3.10.1-1
libgpg-error 1.12-1
libgpod 0.8.2-7
libgssglue 0.4-1
libgtop 2.28.5-1
libgusb 0.1.6-1
libgxps 0.2.2-3
libical 1.0-3
libice 1.0.8-2
libid3tag 0.15.1b-8
libidn 1.28-2
libiec61883 1.2.0-3
libimobiledevice 1.1.5-2
libisofs 1.3.2-1
libjpeg-turbo 1.3.0-3
libkate 0.4.1-4
libkeybinder2 0.3.0-1
libksba 1.3.0-1
liblastfm 1.0.7-1
libldap 2.4.36-1
liblqr 0.4.2-1
liblrdf 0.5.0-2
libltdl 2.4.2-12
libmad 0.15.1b-7
libmatroska 1.4.1-1
libmbim 1.4.0-1
libmediainfo 0.7.64-1
libmms 0.6.2-1
libmng 2.0.2-3
libmodplug 0.8.8.4-2
libmp4v2 2.0.0-2
libmpc 1.0.1-2
libmpcdec 1.2.6-3
libmpd 11.8.17-2
libmpeg2 0.5.1-4
libmtp 1.1.6-2
libmygpo-qt 1.0.7-1
libnl 3.2.22-1
libnotify 0.7.6-1
libofa 0.9.3-5
libogg 1.3.1-2
libopenraw 0.0.9-2
libotf 0.9.13-1
libpcap 1.4.0-1
libpciaccess 0.13.2-2
libpipeline 1.2.4-1
libplist 1.10-1
libpng 1.6.6-1
libproxy 0.4.11-2
libpulse 4.0-5
libqmi 1.4.0-2
libquvi 0.9.3-1
libquvi-scripts 0.9.20131012-1
libraw1394 2.1.0-2
librsvg 1:2.40.0-1
libsamplerate 0.1.8-3
libsasl 2.1.26-6
libsecret 0.16-1
libshout 1:2.3.1-2
libsidplay 1.36.59-5
libsigc++ 2.3.1-1
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.44.1-1
libspectre 0.2.7-1
libssh2 1.4.3-1
libtaginfo 0.1.6-2
libtasn1 3.3-2
libthai 0.1.19-1
libtheora 1.1.1-3
libtiff 4.0.3-4
libtiger 0.3.4-3
libtirpc 0.2.3-1
libtool 2.4.2-12
libtorrent-rasterbar 1:0.16.10-2
libunique 1.1.6-5
libunistring 0.9.3-6
libupnp 1.6.18-1
libusb-compat 0.1.5-1
libusbx 1.0.17-1
libutempter 1.1.6-2
libva 1.2.1-1
libvdpau 0.7-1
libvisual 0.4.0-4
libvorbis 1.3.3-1
libvpx 1.2.0-2
libwbclient 4.1.0-1
libwnck 2.30.7-1
libwnck3 3.4.7-1
libx11 1.6.2-1
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.9.1-2
libxcomposite 0.4.4-1
libxcursor 1.1.14-1
libxdamage 1.1.4-1
libxdmcp 1.1.1-1
libxext 1.3.2-1
libxfce4ui 4.10.0-1
libxfce4util 4.10.1-2
libxfcegui4 4.10.0-1
libxfixes 5.0.1-1
libxfont 1.4.6-1
